"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 25 15:57:51 CST 2021","Thu Feb 25 15:58:10 CST 2021","19109","","test_main","Test_main","","","test_create_contact[contact_dicdata3]",""
"passed","Thu Feb 25 15:58:20 CST 2021","Thu Feb 25 15:58:32 CST 2021","12499","","test_main","Test_main","","","test_send_email[send_emaildata0]",""
"passed","Thu Feb 25 15:59:03 CST 2021","Thu Feb 25 15:59:47 CST 2021","44268","","test_main","Test_main","","","test_send_email[send_emaildata2]",""
"failed","Thu Feb 25 15:55:28 CST 2021","Thu Feb 25 15:55:31 CST 2021","3270","","test_main","Test_main","","","test_login[datalist1]",""
"failed","Thu Feb 25 15:55:45 CST 2021","Thu Feb 25 15:55:48 CST 2021","3248","","test_main","Test_main","","","test_login[datalist2]",""
"broken","Thu Feb 25 15:57:22 CST 2021","Thu Feb 25 15:57:39 CST 2021","17025","","test_main","Test_main","","","test_create_contact[contact_dicdata2]",""
"passed","Thu Feb 25 15:58:42 CST 2021","Thu Feb 25 15:58:53 CST 2021","10681","","test_main","Test_main","","","test_send_email[send_emaildata1]",""
"broken","Thu Feb 25 15:55:59 CST 2021","Thu Feb 25 15:56:16 CST 2021","16962","","test_main","Test_main","","","test_create_contact[contact_dicdata0]",""
"failed","Thu Feb 25 15:55:12 CST 2021","Thu Feb 25 15:55:16 CST 2021","3500","","test_main","Test_main","","","test_login[datalist0]",""
"passed","Thu Feb 25 16:00:24 CST 2021","Thu Feb 25 16:01:05 CST 2021","40608","","test_main","Test_main","","","test_send_email[send_emaildata3]",""
"broken","Thu Feb 25 15:56:55 CST 2021","Thu Feb 25 15:57:12 CST 2021","17172","","test_main","Test_main","","","test_create_contact[contact_dicdata1]",""
